Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Date Read,Date Added,Bookshelves,Exclusive Shelf,Original Purchase Date
11420879,Operating System Concepts,Abraham Silberschatz,Silberschatz  Abraham,Greg Gagne  Peter Baer Galvin,1118112733,9781118112731,0,3.86,John Wiley & Sons,Hardcover,972,2011,empty,10/5/2011,reference-only|computer-science|operating-systems|own,reference-only,10/5/2011
2277750,Now You're Cooking: Everything a Beginner Needs to Know to Start Cooking Today,Elaine Corn,Corn  Elaine,empty,1883791006,9781883791001,0,4,Harlow & Ratner,Hardcover,319,1994,empty,9/29/2011,to-read|cooking|own,to-read,9/29/2011
187833,C Programming: A Modern Approach,K.N. King,King  K.N.,empty,393979504,9780393979503,4,4.24,W. W. Norton & Company,Paperback,832,2008,empty,9/22/2011,reference-only|computer-science|programming-c|own,reference-only,7/24/2008
526293,Pointers on C,Kenneth Reek,Reek  Kenneth,empty,673999866,9780673999863,0,4.2,Pearson,Paperback,636,1997,empty,9/22/2011,reference-only|programming-c|computer-science|own,reference-only,9/22/2011
3958741,Matrices ' Methods and Applications',Stephen Barnett,Barnett  Stephen,empty,198596804,9780198596806,0,4,OUP Oxford,Paperback,472,1990,empty,9/19/2011,reference-only|mathematics|linear-algebra|own,reference-only,9/5/2011
2890899,Essentials of Cooking,James Peterson,Peterson  James,empty,1579651208,9781579651206,3,4.17,Artisan,Hardcover,312,1999,empty,9/15/2011,cooking|to-read|own,to-read,9/15/2011
2927122,Good Housekeeping Step by Step Cookbook: More Than 1 000 Recipes * 1 800 Photographs * 500 Techniques,Susan Westmoreland,Westmoreland  Susan,Good Housekeeping,1588167607,9781588167606,0,4.33,Hearst,Hardcover,576,2008,empty,9/13/2011,to-read|cooking|own,to-read,9/13/2011
12567375,Linear Algebra  with Applications to Differential Equations,Paul G. Kumpel,Kumpel  Paul G.,J.A. Thorpe,30605563,9780030605567,0,0,Saunders College Publishing,Hardcover,353,1983,empty,9/9/2011,reference-only|linear-algebra|mathematics|own,reference-only,9/9/2011
44882,Code: The Hidden Language of Computer Hardware and Software,Charles Petzold,Petzold  Charles,empty,735611319,9780735611313,4,4.37,Microsoft Press,Paperback,400,2000,empty,9/9/2011,computer-architecture|computer-science|to-read|own,to-read,9/9/2011
12298652,Fundamentals of Python: First Programs,Kenneth A. Lambert,Lambert  Kenneth A.,empty,1111822700,9781111822705,0,4.17,Course Technology,Paperback,475,2011,empty,9/2/2011,computer-science|programming-python|own|reference-only,reference-only,empty
4210526,365 Easy Low-Calorie Recipes,Sylvia Schur,Schur  Sylvia,empty,60163097,9780060163099,0,2.86,William Morrow & Company,Hardcover,214,1990,empty,8/26/2011,cooking|reference-only|own,reference-only,9/26/2011
9421274,Abraham Lincoln: Vampire Hunter,Seth Grahame-Smith,Grahame-Smith  Seth,empty,446563072,9780446563079,4,3.7,Grand Central Publishing,Paperback,336,2011,6/10/2012,8/22/2011,fiction|own|horror,read,8/22/2011
5946601,Brain Rules: 12 Principles for Surviving and Thriving at Work  Home  and School,John Medina,Medina  John,empty,979777747,9780979777745,0,3.99,Pear Press,Paperback,301,2009,empty,8/22/2011,to-read|cognition|own,to-read,8/22/2011
691698,What Great Teachers Do Differently: Fourteen Things That Matter Most,Todd Whitaker,Whitaker  Todd,empty,1930556691,9781930556690,0,3.86,Eye on Education,Paperback,144,2003,empty,8/22/2011,education|own|to-read,to-read,8/22/2011
7125342,The Magicians (The Magicians  #1),Lev Grossman,Grossman  Lev,empty,452296293,9780452296299,0,3.47,Penguin Books,Paperback,402,2010,empty,8/19/2011,to-read|fiction|own|fantasy,to-read,8/19/2011
78129,Killing Floor (Jack Reacher  #1),Lee Child,Child  Lee,empty,515141429,9780515141429,2,4.04,Jove,Mass Market Paperback,525,2006,2/27/2017,8/19/2011,fiction|mystery-suspense|do_not_own,read,8/19/2011
1556931,Traveling with the Dead (James Asher #2),Barbara Hambly,Hambly  Barbara,empty,345381025,9780345381026,0,3.84,Del Rey,Hardcover,343,1995,empty,8/17/2011,to-read|fiction|own|horror,to-read,8/17/2011
3788476,Judo for Women,Roy Inman,Inman  Roy,Nicolas Soames,1852230401,9781852230401,4,3.75,Crowood Pr,Hardcover,237,1989,6/27/2016,8/15/2011,martial-arts|judo|own,read,8/15/2011
2542808,Blindsight (Firefall  #1),Peter Watts,Watts  Peter,empty,765319640,9780765319647,0,3.99,Tor Books,Paperback,384,2008,empty,8/10/2011,fiction|to-read|own|sci-fi,to-read,8/10/2011
18003,The Gunslinger (The Dark Tower  #1),Stephen King,King  Stephen,Michael Whelan,451210840,9780451210845,0,4,Penguin Group New American Library Signet,Mass Market Paperback,300,2003,empty,8/9/2011,to-read|fiction|own|horror,to-read,8/9/2011
1412138,Iron Kissed (Mercy Thompson  #3),Patricia Briggs,Briggs  Patricia,empty,441015662,9780441015665,4,4.36,Ace,Mass Market Paperback,287,2008,11/17/2011,8/9/2011,fiction|own|horror,read,8/9/2011
17214,Starship Troopers,Robert A. Heinlein,Heinlein  Robert A.,empty,441783589,9780441783588,0,3.99,Ace Book,Mass Market Paperback,335,1987,empty,8/9/2011,to-read|fiction|own|sci-fi,to-read,8/9/2011
6619930,Dead and Gone (Sookie Stackhouse  #9),Charlaine Harris,Harris  Charlaine,empty,441018513,9780441018512,4,4.01,Ace Books,Mass Market Paperback,320,2010,8/23/2011,8/9/2011,fiction|own|horror,read,8/9/2011
8493963,Dead in the Family (Sookie Stackhouse #10),Charlaine Harris,Harris  Charlaine,empty,441020151,9780441020157,4,3.88,Ace,Mass Market Paperback,327,2011,10/4/2011,7/30/2011,fiction|own|horror,read,7/30/2011
4505719,From Dead to Worse (Sookie Stackhouse  #8),Charlaine Harris,Harris  Charlaine,empty,441017010,9780441017010,4,4.01,Ace Books,Mass Market Paperback,321,2009,8/17/2011,7/30/2011,fiction|own|horror,read,7/30/2011
6615021,Bone Crossed (Mercy Thompson  #4),Patricia Briggs,Briggs  Patricia,empty,044101836X,9780441018369,4,4.34,Ace,Mass Market Paperback,287,2010,10/15/2012,7/26/2011,fiction|own|fantasy|horror,read,7/26/2011
12111927,Evolution After Darwin: Issues in Evolution  vol 3,Sol Tax,Tax  Sol,empty,226790878,9780226790879,0,0,The University of Chicago Press,Hardcover,empty,1960,empty,7/23/2011,reference-only|evolution|science|own,reference-only,empty
2378136,Algorithmics: The Spirit of Computing,David Harel,Harel  David,empty,201504014,9780201504019,0,3.95,Addison Wesley Publishing Company,Paperback,480,1992,empty,7/18/2011,computer-science|algorithms-data-structures|reference-only|own,reference-only,5/2/2003
662159,Practical Algorithms for Programmers,Andrew Binstock,Binstock  Andrew,empty,020163208X,9780201632088,0,3.86,Addison-Wesley Professional,Paperback,592,1995,empty,7/18/2011,computer-science|algorithms-data-structures|reference-only|own,reference-only,empty
968548,Algorithms in C  Part 5: Graph Algorithms,Robert Sedgewick,Sedgewick  Robert,empty,201316633,9780201316636,0,3.94,Addison-Wesley Professional,Paperback,512,2001,empty,7/18/2011,computer-science|algorithms-data-structures|reference-only|own,reference-only,empty
425213,Algorithms in C++  Parts 1-4: Fundamentals  Data Structure  Sorting  Searching,Robert Sedgewick,Sedgewick  Robert,Christopher J. Van Wyk,201350882,9780201350883,0,4.04,Addison-Wesley Professional,Paperback,752,1998,empty,7/18/2011,computer-science|algorithms-data-structures|reference-only|own,reference-only,empty
1639047,The Design and Analysis of Algorithms,Dexter C. Kozen,Kozen  Dexter C.,empty,387976876,9780387976877,0,4.4,Springer,Hardcover,330,1991,empty,7/18/2011,computer-science|algorithms-data-structures|reference-only|own,reference-only,empty
145091,An Introduction to the Analysis of Algorithms,Robert Sedgewick,Sedgewick  Robert,Philippe Flajolet,020140009X,9780201400090,0,4,Addison-Wesley Professional,Paperback,512,1995,empty,7/18/2011,computer-science|algorithms-data-structures|reference-only|own,reference-only,empty
946131,Introduction to Algorithms,Thomas H. Cormen,Cormen  Thomas H.,Charles E. Leiserson  Ronald L. Rivest,262031418,9780262031417,4,4.3,MIT Press (MA),Hardcover,empty,1990,empty,7/18/2011,computer-science|algorithms-data-structures|reference-only|own,reference-only,empty
425208,The Algorithm Design Manual,Steven S. Skiena,Skiena  Steven S.,empty,387948600,9780387948607,0,4.33,Springer,Hardcover,486,1997,empty,7/18/2011,computer-science|algorithms-data-structures|reference-only|own,reference-only,empty
2673172,Analysis of Algorithms,Jeffrey J. McConnell,McConnell  Jeffrey J.,empty,763707821,9780763707828,0,3.64,Jones & Bartlett Publishers,Hardcover,451,2007,empty,7/18/2011,computer-science|algorithms-data-structures|reference-only|own,reference-only,empty
145088,Compared to What?: An Introduction to the Anaylsis of Algorithms,Gregory J.E. Rawlins,Rawlins  Gregory J.E.,empty,071678243X,9780716782438,0,4.75,W.H. Freeman & Company,Hardcover,536,1991,empty,7/18/2011,computer-science|algorithms-data-structures|reference-only|own,reference-only,empty
112247,The Art of Computer Programming  Volume 1: Fundamental Algorithms,Donald Ervin Knuth,Knuth  Donald Ervin,empty,201896834,9780201896831,0,4.34,Addison-Wesley,Hardcover,672,1997,empty,7/18/2011,computer-science|algorithms-data-structures|reference-only|own,reference-only,empty
6294215,Algorithms: Design Techniques and Analysis,M.H. Alsuwaiyel,Alsuwaiyel  M.H.,empty,9810237405,9789810237400,4,3.89,World Scientific Publishing Company,Hardcover,544,1999,empty,7/18/2011,computer-science|algorithms-data-structures|to-read|own,to-read,5/23/2011
749907,Schaum's Outline of Theory and Problems of Data Structures,Seymour Lipschutz,Lipschutz  Seymour,empty,70380015,9780070380011,0,4.23,McGraw-Hill Companies,Paperback,344,1986,empty,7/18/2011,computer-science|algorithms-data-structures|reference-only|own,reference-only,empty
5180872,Computing Patterns in Strings,Bill Smyth,Smyth  Bill,Bill Smyth,201398397,9780201398397,0,4.5,Addison Wesley Longman,Hardcover,440,2003,empty,7/18/2011,computer-science|algorithms-data-structures|reference-only|own,reference-only,empty
8246818,Probabilistic Analysis of Algorithms: On Computing Methodologies for Computer Algorithms Performance Evaluation,Micha Hofri,Hofri  Micha,empty,387965785,9780387965789,0,5,Springer,Hardcover,240,1987,empty,7/18/2011,computer-science|algorithms-data-structures|reference-only|own,reference-only,empty
105137,Computer Algorithms: Introduction to Design and Analysis,Sara Baase,Baase  Sara,empty,201060353,9780201060355,0,3.5,Addison Wesley Publishing Company,Hardcover,600,1988,empty,7/18/2011,computer-science|algorithms-data-structures|reference-only|own,reference-only,7/18/2011
3320813,The Science of Computing: Exploring the Nature and Power of Algorithms,David Harel,Harel  David,empty,020151723X,9780201517231,0,4,Addison Wesley Publishing Company,Paperback,348,1989,empty,7/18/2011,algorithms-data-structures|computer-science|reference-only|own,reference-only,empty
2342661,Latin-English Dictionary,Roy J. Deferrari,Deferrari  Roy J.,empty,819844438,9780819844439,0,0,Pauline Books & Media,Hardcover,1115,empty,empty,7/15/2011,reference-only|dictionary|latin|language|own,reference-only,empty
6132045,Tusculan Disputations,Marcus Tullius Cicero,Cicero  Marcus Tullius,A.E. Douglas,865160724,9780865160729,0,4.04,Bolchazy-Carducci Publishers,Unknown Binding,2,1990,empty,7/15/2011,reference-only|latin|language|own,reference-only,empty
9779476,Birth of a New Physics,I. Bernard Cohen,Cohen  I. Bernard,empty,385094477,9780385094474,0,3.82,Doubleday Books,Paperback,200,1960,empty,7/15/2011,to-read|history|physics|own,to-read,empty
12050499,Physics for Everybody,Germaine Beiser,Beiser  Germaine,Arthur Beiser,empty,empty,0,4,E. P. Dutton & Co.,Paperback,191,1960,empty,7/15/2011,physics|science|to-read|own,to-read,empty
3254328,C by Discovery (2nd Edition),Leslie S. Foster,Foster  Leslie S.,Janice Maupin  Malloy Lithographing  Inc.  WLF Enterprises  Greg Hubit Bookworks,1881991296,9781881991298,0,3.5,Scott Jones Publishers,Paperback,767,1994,empty,7/15/2011,reference-only|computer-science|programming-c|own,reference-only,empty
1996709,Mathematical Methods for Digital Computers,Anthony Ralston,Ralston  Anthony,empty,471706892,9780471706892,0,0,John Wiley & Sons,Hardcover,305,1967,empty,7/15/2011,reference-only|mathematics|own|numerical-analysis,reference-only,empty
3224642,Mathematical Methods for Digital Computers,Anthony Ralson,Ralson  Anthony,H. S. Wilf,471706868,9780471706861,0,0,John Wiley & Sons,Hardcover,293,1960,empty,7/15/2011,reference-only|mathematics|own|numerical-analysis,reference-only,empty
382450,Fevre Dream,George R.R. Martin,Martin  George R.R.,empty,553383051,9780553383058,0,3.85,Bantam,Paperback,334,2004,empty,7/15/2011,fiction|own|horror|to-read,to-read,7/15/2011
230837,Standard Codecs: Image Compression to Advanced Video Coding,M. Ghanbari,Ghanbari  M.,empty,852967101,9780852967102,0,5,Institution of Engineering & Technology,Hardcover,428,2003,empty,7/14/2011,reference-only|computer-science|image-processing|own,reference-only,empty
12044280,Arithmetic For The Practical Man,J.E. Thompson,Thompson  J.E.,empty,442284845,9780442284848,0,4.75,Van Nostrand Reinhold,Hardcover,empty,1973,empty,7/14/2011,to-read|mathematics|own,to-read,empty
161414,See You at the Top: Formerly Entitled Biscuits  Fleas  and Pump Handles,Zig Ziglar,Ziglar  Zig,Al Mayton,088289126X,9780882891262,0,4.25,Pelican Publishing Company,Hardcover,382,1976,empty,7/14/2011,to-read|self-help|own,to-read,empty
12044047,Bruce Tegner's Complete Book of Aikido and Holds & Locks,Bruce Tegner,Tegner  Bruce,empty,empty,empty,0,2.43,Bantam Books,Paperback,253,1970,empty,7/14/2011,aikido|aiki|martial-arts|to-read|own,to-read,empty
4192766,Elementary Geometry From An Advanced Standpoint,Edwin Moise,Moise  Edwin,empty,201047934,9780201047936,0,4.2,Addison Wesley Publishing Company,Hardcover,425,empty,empty,7/14/2011,to-read|geometry|mathematics|own,to-read,empty
522102,A Retargetable C Compiler: Design and Implementation,Christopher Fraser,Fraser  Christopher,empty,805316701,9780805316704,0,3.82,Addison-Wesley Professional,Paperback,592,1995,empty,7/14/2011,reference-only|compilers|computer-science|own,reference-only,empty
1537391,Common LISP: A Gentle Introduction to Symbolic Computation,David S. Touretzky,Touretzky  David S.,empty,805304924,9780805304923,0,4.01,Addison Wesley Publishing Company,Paperback,empty,1989,empty,7/14/2011,reference-only|computer-science|programming-lisp|own,reference-only,empty
11707157,The 2nd Scientific American Book of Mathematical Puzzles & Diversions,Martin Gardner,Gardner  Martin,empty,empty,empty,0,4.21,Simon and Schuster,Paperback,empty,1961,empty,7/14/2011,to-read|mathematics|popular-works|own,to-read,empty
1256741,Vale of the Vole (Xanth  #10),Piers Anthony,Anthony  Piers,empty,380752875,9780380752874,0,3.59,Avon Books,Paperback,324,1987,empty,7/14/2011,to-read|fiction|own|fantasy,to-read,empty
6121415,Dreamer in Discord,Craig Mills,Mills  Craig,empty,345345916,9780345345912,0,3.17,Del Rey,Mass Market Paperback,229,1988,empty,7/14/2011,to-read|fiction|own|fantasy,to-read,empty
4787122,Mathematical Methods For Economics,Michael W. Klein,Klein  Michael W.,empty,201855720,9780201855722,0,3.7,Addison Wesley Longman,Hardcover,562,1998,empty,7/14/2011,reference-only|mathematics|economics|own,reference-only,empty
722448,Advanced Calculus,David V. Widder,Widder  David V.,empty,486661032,9780486661032,0,4.07,Dover Publications,Paperback,544,1989,empty,7/14/2011,mathematics|calculus|to-read|own,to-read,empty
585364,Physics  Parts I and II (Parts 1 & 2),David Halliday,Halliday  David,empty,047134530X,9780471345305,0,4.17,Wiley,Hardcover,1089,1978,empty,7/14/2011,reference-only|physics|science|own,reference-only,empty
602436,Anatomy of Breathing,Blandine Calais-Germain,Calais-Germain  Blandine,empty,939616556,9780939616558,0,4.36,Eastland Press,Paperback,232,2006,empty,7/14/2011,to-read|health|holistic|own,to-read,empty
1796764,Egypt: Land of the Pharaohs,Dale  Brown,Brown  Dale,empty,809498502,9780809498505,0,4.12,Time Life ,Hardcover,168,1992,empty,7/14/2011,reference-only|geography|own,reference-only,empty
3574413,Physics,Arthur Beiser,Beiser  Arthur,empty,805303812,9780805303810,0,3.47,Benjamin-Cummings Publishing Company,Hardcover,863,1982,empty,7/14/2011,reference-only|physics|science|own,reference-only,empty
4790548,Physics,Hans C. Ohanian,Ohanian  Hans C.,empty,393954013,9780393954012,0,5,W. W. Norton & Company,Hardcover,1210,1985,empty,7/14/2011,reference-only|physics|science|own,reference-only,empty
12039243,Electric Circuits: Study Guide 4th Edition,James W. Nilsson,Nilsson  James W.,empty,201527006,9780201527001,0,4,Addison Wesley Publishing Company,Paperback,empty,1993,empty,7/14/2011,reference-only|electrical-engineering|own,reference-only,empty
12039241,Macroeconomics   Hardcover,Olivier J. Blanchard,Blanchard  Olivier J.,empty,130173274,9780130173270,0,3.74,empty,empty,empty,2000,empty,7/14/2011,reference-only|economics|own,reference-only,empty
3506772,Schaum's Outline of Theory and Problems of College Physics,Frederick J. Bueche,Bueche  Frederick J.,empty,70088578,9780070088573,0,4,McGraw-Hill Companies,Paperback,341,1979,empty,7/14/2011,reference-only|physics|science|own,reference-only,empty
17351,A Brief History of Time,Stephen Hawking,Hawking  Stephen,Carl Sagan,055305340X,9780553053401,0,4.12,Bantam Books,Hardcover,198,1988,empty,7/13/2011,to-read|popular-works|science|own,to-read,empty
6376339,By the Sword (Repairman Jack  #12),F. Paul Wilson,Wilson  F. Paul,empty,765356333,9780765356338,4,4.12,Tor Books,Mass Market Paperback,464,2009,10/1/2010,7/13/2011,fiction|own|horror,read,empty
2306636,Shadowfires,Leigh Nichols,Nichols  Leigh,Dean Koontz,042522385X,9780425223857,0,3.77,Berkley,Paperback,528,2008,empty,7/13/2011,to-read|fiction|own|horror,to-read,empty
77651,You Just Don't Understand,Deborah Tannen,Tannen  Deborah,Tannen,345372050,9780345372055,0,3.86,Ballantine Books,Paperback,330,1991,empty,7/13/2011,to-read|self-help|communications|own,to-read,empty
2074,Kinds of Minds: Towards an Understanding of Consciousness,Daniel C. Dennett,Dennett  Daniel C.,empty,465073514,9780465073511,0,3.82,Basic Books,Paperback,192,1997,empty,7/13/2011,to-read|science|cognition|own,to-read,empty
7107255,The Science Of Everyday Life,Jay Ingram,Ingram  Jay,empty,670828327,9780670828326,0,3.7,Viking Adult,Hardcover,224,1990,empty,7/13/2011,to-read|science|popular-works|own,to-read,empty
1841822,Levitating Trains and Kamikaze Genes: Technological Literacy for the Future,Richard P. Brennan,Brennan  Richard P.,empty,471079022,9780471079026,0,3.1,Wiley,Paperback,262,1994,empty,7/13/2011,to-read|popular-works|science|own,to-read,empty
1088952,Ultimate Back Fitness And Performance,Stuart McGill,McGill  Stuart,empty,973501804,9780973501803,0,4.37,Orthopedic Physical Therapy & Rehabilitation Produ,Paperback,325,2006,empty,7/13/2011,physical-therapy|health|to-read|own,to-read,empty
977070,Complexification: Explaining a Paradoxical World Through the Science of Surprise,John L. Casti,Casti  John L.,empty,60168889,9780060168889,0,3.51,HarperCollins Publishers,Hardcover,320,1994,empty,7/13/2011,to-read|science|own,to-read,empty
26345,MacMillan Visual Dictionary,McMillan Publishing,Publishing  McMillan,empty,28608100,9780028608105,0,4.82,MacMillan Publishing Company,Paperback,864,1995,empty,7/13/2011,reference-only|dictionary|english|own,reference-only,empty
818063,Calculus Made Easy,Silvanus Phillips Thompson,Thompson  Silvanus Phillips,Martin Gardner,312185480,9780312185480,0,4.18,St. Martin's Press,Hardcover,336,1998,empty,7/13/2011,to-read|mathematics|calculus|own,to-read,empty
817520,Physiology of Fitness,Brian J. Sharkey,Sharkey  Brian J.,empty,873222679,9780873222679,0,4.43,Human Kinetics Publishers,Paperback,432,1990,empty,7/13/2011,reference-only|health|anatomy-physiology|own,reference-only,empty
11084643,Beginning Racquetball,Cheryl Norton,Norton  Cheryl,James E. Bryant,534571441,9780534571443,0,0,Brooks Cole,Paperback,136,2000,empty,7/13/2011,reference-only|exercise|own,reference-only,empty
12035139,Excursions in Number Theory,C. Stanley Ogilvy,Ogilvy  C. Stanley,John T. Anderson,019690319X,9780196903194,0,3.89,Oxford University Press,Hardcover,empty,1966,empty,7/13/2011,to-read|mathematics|number-theory|own,to-read,empty
2625612,Smart Exercise: Burning Fat  Getting Fit,Covert Bailey,Bailey  Covert,empty,395470439,9780395470435,3,3.88,Houghton Mifflin,Hardcover,292,1994,1/1/1995,7/13/2011,health|exercise|own,read,empty
176261,Those Who Hunt the Night (James Asher  #1),Barbara Hambly,Hambly  Barbara,empty,345361326,9780345361325,4,3.82,Del Rey,Mass Market Paperback,350,1990,1/1/1992,7/13/2011,fiction|own|horror,read,empty
373413,Man Who Tasted Shapes,Richard E. Cytowic,Cytowic  Richard E.,empty,874777380,9780874777383,0,3.87,Tarcher,Paperback,249,1993,empty,7/12/2011,to-read|science|cognition|own,to-read,empty
444653,"How to Measure Anything: Finding the Value of ""Intangibles"" in Business",Douglas W. Hubbard,Hubbard  Douglas W.,empty,470110120,9780470110126,0,3.96,John Wiley & Sons,Hardcover,287,2007,empty,7/12/2011,to-read|mathematics|own,to-read,empty
1403912,Six Thinking Hats,Edward de Bono,Bono  Edward de,empty,316177911,9780316177917,0,3.77,Little Brown and Company,Hardcover,empty,1986,empty,7/12/2011,to-read|self-help|own,to-read,empty
1159887,The Human Body Shop: The Engineering And Marketing Of Life,Andrew Kimbrell,Kimbrell  Andrew,empty,62505246,9780062505248,0,3,HarperOne,Hardcover,empty,1993,empty,7/12/2011,to-read|science|own,to-read,empty
1426952,Don't Know Much About History: Everything You Need to Know About American History but Never Learned,Kenneth C. Davis,Davis  Kenneth C.,empty,517577062,9780517577066,0,3.84,Crown Pub,Hardcover,462,1990,empty,7/12/2011,to-read|own,to-read,empty
99383,Blood Rites (The Dresden Files  #6),Jim Butcher,Butcher  Jim,empty,451459873,9780451459879,4,4.33,Roc,Paperback,452,2004,4/7/2009,7/12/2011,fiction|own|horror,read,empty
17683,Dead Beat (The Dresden Files  #7),Jim Butcher,Butcher  Jim,empty,045146091X,9780451460912,4,4.43,Roc,Paperback,517,2006,4/12/2009,7/12/2011,fiction|own|horror,read,empty
2933117,Physics,Edward Derringh,Derringh  Edward,Robert Resnick  David Halliday,471097128,9780471097129,0,0,John Wiley & Sons Inc,Paperback,400,1981,empty,7/12/2011,reference-only|physics|science|own,reference-only,empty
64216,Guards! Guards! (Discworld  #8; City Watch #1),Terry Pratchett,Pratchett  Terry,empty,61020648,9780061020643,0,4.31,HarperTorch,Mass Market Paperback,376,2001,empty,7/11/2011,to-read|fiction|own|sci-fi,to-read,empty
3382819,Green Lightning (Tracker  #2),Ron Stillman,Stillman  Ron,empty,1557734267,9781557734266,0,3.5,Diamond/Charter,Paperback,0,1990,empty,7/11/2011,fiction|own|sci-fi|to-read,to-read,empty
632614,Shadow Climber (Bifrost Guardians  #2),Mickey Zucker Reichert,Reichert  Mickey Zucker,empty,886772842,9780886772840,0,3.77,DAW,Paperback,304,1988,empty,7/11/2011,to-read|fiction|own|fantasy,to-read,empty
1022151,Daughter of the Lion (Chronicles of the Cheysuli  #6),Jennifer Roberson,Roberson  Jennifer,empty,886773245,9780886773243,0,4.08,DAW,Mass Market Paperback,372,1989,empty,7/11/2011,to-read|fiction|own|sci-fi,to-read,empty
2154129,Foreigner (Foreigner  #1),C.J. Cherryh,Cherryh  C.J.,empty,886775906,9780886775902,0,3.95,DAW,Hardcover,328,1994,empty,7/11/2011,to-read|fiction|own|sci-fi,to-read,empty
1197129,The Pride of Chanur (Chanur #1),C.J. Cherryh,Cherryh  C.J.,empty,886772923,9780886772925,0,3.92,DAW,Paperback,224,1982,1/1/1990,7/11/2011,fiction|own|sci-fi,read,empty
650584,Shadowdale (Forgotten Realms: Avatar #1),Scott Ciencin,Ciencin  Scott,Richard Awlinson,880387300,9780880387309,0,3.68,Wizards of the Coast TSR,Paperback,335,1989,empty,7/11/2011,to-read|fiction|own|fantasy,to-read,empty
1723180,The Kif Strike Back (Compact Space  #3) (Alliance-Union Universe),C.J. Cherryh,Cherryh  C.J.,empty,886771048,9780886771041,0,4.07,DAW,Paperback,299,1986,1/1/1992,7/11/2011,fiction|own|sci-fi,read,empty
219418,The Tomb (Repairman Jack  #1; Adversary Cycle  #2; The Secret History of the World),F. Paul Wilson,Wilson  F. Paul,empty,812580370,9780812580372,3,4.05,TOR Books,Mass Market Paperback,426,1998,7/27/2009,7/11/2011,fiction|own|horror,read,empty
1197153,Chanur's Venture (Compact Space #2),C.J. Cherryh,Cherryh  C.J.,empty,879979895,9780879979898,0,4.04,Daw Books,Paperback,312,1985,1/1/1990,7/11/2011,fiction|own|sci-fi,read,empty
73313,Key of Ice and Steel (Keys to Paradise  #3),Robert E. Vardeman,Vardeman  Robert E.,Daniel Moran,812546067,9780812546064,0,3.53,Tor Books,Mass Market Paperback,216,1988,empty,7/11/2011,to-read|fiction|own|fantasy,to-read,empty
57166,Chanur's Homecoming (Chanur #4),C.J. Cherryh,Cherryh  C.J.,empty,886771773,9780886771775,0,4.13,DAW,Paperback,400,1991,1/1/1992,7/11/2011,fiction|own|sci-fi,read,empty
126490,Cuckoo's Egg,C.J. Cherryh,Cherryh  C.J.,empty,886770831,9780886770839,4,3.94,DAW,Paperback,319,1985,1/1/1992,7/11/2011,fiction|own|sci-fi,read,empty
317354,The Isle of Glass (The Hound and the Falcon  #1),Judith Tarr,Tarr  Judith,empty,812556003,9780812556001,0,3.92,Tor Books,Paperback,276,1986,empty,7/11/2011,to-read|fiction|own|fantasy,to-read,empty
152250,Conan the Bold,John Maddox Roberts,Roberts  John Maddox,empty,812552105,9780812552102,0,3.61,Tor Fantasy,Paperback,288,1989,empty,7/11/2011,to-read|fiction|own|fantasy,to-read,empty
15505,Race Against Time,Piers Anthony,Anthony  Piers,empty,812531019,9780812531015,0,3.25,Tor Books,Paperback,256,1986,empty,7/11/2011,fiction|own|sci-fi|to-read,to-read,empty
1263001,The Skeleton Lord's Key,Daniel Moran,Moran  Daniel,Robert E. Vardeman,812546024,9780812546026,0,3.46,Tor Books,Paperback,186,1987,empty,7/11/2011,to-read|fiction|own|fantasy,to-read,empty
906146,Hasan,Piers Anthony,Anthony  Piers,empty,812531124,9780812531121,0,3.33,Tor Books,Paperback,242,1986,empty,7/11/2011,to-read|fiction|own|fantasy,to-read,empty
1263004,The Flame Key (Keys to Paradise  #1),Daniel  Moran,Moran  Daniel,empty,812546008,9780812546002,0,3.38,Tor Books,Paperback,186,1987,empty,7/11/2011,to-read|fiction|own|fantasy,to-read,empty
1462461,Keepers of Edanvant (Irissa and Kendric #3),Carole Nelson Douglas,Douglas  Carole Nelson,empty,812535944,9780812535945,0,3.46,Tor Books,Paperback,352,1988,empty,7/11/2011,to-read|fiction|own|fantasy,to-read,empty
159206,The Tale of the Body Thief (The Vampire Chronicles  #4),Anne Rice,Rice  Anne,empty,679405283,9780679405283,0,3.7,Alfred A. Knopf/Borzoi Book,Hardcover,430,1992,empty,7/11/2011,to-read|fiction|own|horror,to-read,empty
842492,One Quest  Hold the Dragons (Cups and Sorcery  #2),Greg Costikyan,Costikyan  Greg,empty,812522699,9780812522693,0,3.79,empty,Mass Market Paperback,376,empty,empty,7/11/2011,to-read|fiction|own|fantasy,to-read,empty
2027533,Conan the Great,Leonard P. Carpenter,Carpenter  Leonard P.,empty,812507142,9780812507140,0,3.37,Tor Books,Mass Market Paperback,288,1990,empty,7/11/2011,to-read|fiction|own|fantasy,to-read,empty
550009,Conan The Free Lance,Steve Perry,Perry  Steve,empty,812506901,9780812506907,0,3.32,Tor Fantasy,Paperback,288,1990,empty,7/11/2011,to-read|fiction|own|fantasy,to-read,empty
1051323,Black Trump (Wild Cards  #15),George R.R. Martin,Martin  George R.R.,Stephen Leigh  Sage Walker  John J.  Miller  Victor Milán  Barclay Shaw,671876791,9780671876791,4,3.8,Baen Books,Paperback,538,1995,1/1/1994,7/11/2011,fiction|own|sci-fi,read,empty
